162.159.192.1 | Ping:❌ | Instagram:000000 | Cloudflare:301 | Latency:ms
162.159.193.1 | Ping:❌ | Instagram:000000 | Cloudflare:301 | Latency:ms
162.159.195.1 | Ping:❌ | Instagram:000000 | Cloudflare:301 | Latency:ms
162.159.204.1 | Ping:❌ | Instagram:000000 | Cloudflare:301 | Latency:ms
188.114.96.1 | Ping:❌ | Instagram:000000 | Cloudflare:301 | Latency:ms
188.114.97.1 | Ping:❌ | Instagram:000000 | Cloudflare:301 | Latency:ms
64.6.64.6 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
64.6.65.6 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
77.88.8.8 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
77.88.8.1 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
156.154.70.1 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
199.85.127.10 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
8.20.247.20 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
208.67.222.222 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
208.67.220.220 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
223.5.5.5 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
217.218.26.77 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
93.118.122.110 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
8.26.56.26 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
216.146.36.36 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
195.46.39.39 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
4.2.2.2 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
198.101.242.72 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
5.160.12.98 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
80.80.80.80 | Ping:❌ | Instagram:000000 | Cloudflare:000000 | Latency:ms
